"table_name","column_name","python_datatype","db_datatype","row_count","unique_count","null_count","fill_rate_pct","top_10_values","bottom_10_values","min_length","max_length"
"labs","udm_inc_id","server-side","bigint","51862407","~49,669,244","0","100.0","58616222(1); 58616223(1); 58616224(1); 58616225(1); 58616226(1); 58616227(1); 58616228(1); 58616229(1); 58616230(1); 58616231(1)","58616222(1); 58616223(1); 58616224(1); 58616225(1); 58616226(1); 58616227(1); 58616228(1); 58616229(1); 58616230(1); 58616231(1)","",""
"labs","enc_date_proxy","server-side","date","51862407","n/a","1895816","96.34","","","",""
"procedures","proc_id","server-side","varchar(40)","45979641","~1 (sampled)","25908344","43.65","","","",""
"procedures","ndid","server-side","bigint","45979641","~9,769,089","0","100.0","100100010001036(2524); 100100010002220(2137); 100100010012184(1939); 100100010006508(1741); 100100010000900(1423); 100100010010977(1401); 100100010000912(1368); 100100010001467(1334); 100100010014728(1323); 100100010012241(1317)","100100010000001(1); 100100010000024(1); 100100010000180(1); 100100010000128(1); 100100010000203(1); 100100010000048(1); 100100010000202(1); 100100010000017(1); 100100010000090(1); 100100010000022(1)","",""
"procedures","eid","server-side","bigint","45979641","~20,088,088","36538","99.92","1001000100106740010(17); 1001000100131680010(17); 1001000100024640074(15); 1001000100076600091(15); 1001000100003250676(14); 1001000100042360089(14); 1001000100021540232(14); 1001000100042360102(14); 1001000100042360095(14); 1001000100019510149(14)","1001000100000011774(1); 1001000100000090001(1); 1001000100000090004(1); 1001000100000090005(1); 1001000100000090008(1); 1001000100000090010(1); 1001000100000090012(1); 1001000100000090014(1); 1001000100000090022(1); 1001000100000090025(1)","",""
"procedures","encounter_date","server-side","date","45979641","~18,361,352","523016","98.86","","","",""
"procedures","proc_start_date","server-side","date","45979641","~26,528,254","12325881","73.19","","","",""
"procedures","proc_last_date","server-side","date","45979641","n/a","12325886","73.19","","","",""
"procedures","proc_category","server-side","varchar(100)","45979641","~1 (sampled)","44158230","3.96","","","",""
"procedures","proc_code","server-side","varchar(20)","45979641","~66,326","305561","99.34","1036F(142648); 11105(14265); 11104(11621); 11110(8844); 11100(3014); 11101(2887); 0866T(2249); 0518F(1428); 0011A(969); 0012A(915)","	(1);     99214(1);   99214(1);  95813(1);  99024(1); 0000(1); \(1);  99215(1);  99244(1); 0001A(1)","",""
